Designator,Mid X,Mid Y,Rotation,Layer
A2,104.765,-93.755,0.0,top
C1,108.75,-110.0,0.0,top
C2,108.75,-117.0,0.0,top
D1,101.0,-115.0,90.0,top
D2,109.0,-103.5,270.0,top
D3,99.0,-71.0,270.0,top
D4,99.0,-76.0,90.0,top
J1,88.5,-99.0,270.0,top
J2,106.5,-80.5825,180.0,top
L1,92.5,-126.65,270.0,top
R1,101.5,-97.0,180.0,top
R2,101.5,-99.5,0.0,top
R3,110.0,-88.5,180.0,top
R4,101.5,-89.5,0.0,top
R5,101.45,-94.5,180.0,top
R6,101.45,-92.0,0.0,top
R7,101.55,-102.0,180.0,top
R8,111.25,-103.5,90.0,top
R9,99.0,-81.0,90.0,top
SW1,107.75,-95.5,90.0,top
U1,109.65,-127.6,0.0,top
U2,101.0,-106.0,270.0,top
